what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336365024818
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336365031505
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.export",1336365031659
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.export",1336365031660
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336365034219
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336365086227
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1336365086330
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1336365099436
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1336365101684
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336365103975
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336365109961
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.export",1336365110159
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.export",1336365110160
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336365112629
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336365173400
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1336365173530
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1336365220369
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336365226107
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336365236642
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1336365238374
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1336365272648
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336365310181
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336365311797
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1336365311832
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336365316600
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336365324221
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336365325907
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336365327261
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1336365327331
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1336365331774
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1336365397644
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336365399760
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336365421256
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.export",1336365421410
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.export",1336365421410
error,log,,,"Core exception while retrieving the content description",1336365422692
error,log,,,"Core exception while retrieving the content description",1336365422716
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.refresh",1336365424513
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.refresh",1336365426511
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336365429896
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336365435464
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.export",1336365435633
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.export",1336365435633
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336365437108
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336365524045
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1336365524199
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336365533963
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336365557670
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336365557821
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336365559140
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336365560213
